,date,county,daily_county_confirmed,county_confirmed,daily_state_confirmed,state_confirmed,county_cases_increase,date_cases_contribution,total_cases_contribution,daily_county_deaths,county_deaths,daily_state_deaths,state_deaths,county_deaths_increase,date_death_contribution,total_death_contribution
7528,2020-03-28,Lyon,0,5,59,272,0.0,0.0,0.01838235294117647,0,0,2,6,0.0,0.0,0.0
7527,2020-03-28,McPherson,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7526,2020-03-28,Mitchell,0,3,59,272,0.0,0.0,0.011029411764705885,0,0,2,6,0.0,0.0,0.0
7525,2020-03-28,Morris,0,2,59,272,0.0,0.0,0.007352941176470589,0,0,2,6,0.0,0.0,0.0
7524,2020-03-28,Neosho,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7523,2020-03-28,Osage,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7522,2020-03-28,Ottawa,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7521,2020-03-28,Pottawatomie,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7520,2020-03-28,Reno,0,5,59,272,0.0,0.0,0.01838235294117647,0,0,2,6,0.0,0.0,0.0
7519,2020-03-28,Riley,0,2,59,272,0.0,0.0,0.007352941176470589,0,0,2,6,0.0,0.0,0.0
7518,2020-03-28,Sedgwick,13,33,59,272,0.3939393939393939,0.22033898305084745,0.12132352941176472,0,0,2,6,0.0,0.0,0.0
7517,2020-03-28,Shawnee,2,7,59,272,0.2857142857142857,0.03389830508474576,0.025735294117647058,1,1,2,6,1.0,0.5,0.16666666666666666
7516,2020-03-28,Sumner,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7515,2020-03-28,Woodson,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7514,2020-03-28,Wyandotte,10,53,59,272,0.18867924528301888,0.1694915254237288,0.19485294117647056,0,3,2,6,0.0,0.0,0.5
7513,2020-03-29,Bourbon,0,3,61,333,0.0,0.0,0.009009009009009009,0,0,1,7,0.0,0.0,0.0
7512,2020-03-29,Butler,0,3,61,333,0.0,0.0,0.009009009009009009,0,0,1,7,0.0,0.0,0.0
7511,2020-03-29,Cherokee,0,2,61,333,0.0,0.0,0.006006006006006006,0,0,1,7,0.0,0.0,0.0
7510,2020-03-29,Clay,0,1,61,333,0.0,0.0,0.003003003003003003,0,0,1,7,0.0,0.0,0.0
7509,2020-03-29,Coffey,0,8,61,333,0.0,0.0,0.024024024024024024,0,0,1,7,0.0,0.0,0.0
7508,2020-03-29,Crawford,1,4,61,333,0.25,0.016393442622950817,0.012012012012012012,0,0,1,7,0.0,0.0,0.0
7507,2020-03-29,Doniphan,0,1,61,333,0.0,0.0,0.003003003003003003,0,0,1,7,0.0,0.0,0.0
7506,2020-03-29,Douglas,0,23,61,333,0.0,0.0,0.06906906906906907,0,0,1,7,0.0,0.0,0.0
7505,2020-03-29,Ford,0,1,61,333,0.0,0.0,0.003003003003003003,0,0,1,7,0.0,0.0,0.0
7504,2020-03-29,Franklin,0,6,61,333,0.0,0.0,0.018018018018018014,0,0,1,7,0.0,0.0,0.0
7503,2020-03-29,Gove,0,1,61,333,0.0,0.0,0.003003003003003003,0,0,1,7,0.0,0.0,0.0
7502,2020-03-29,Harvey,0,1,61,333,0.0,0.0,0.003003003003003003,0,0,1,7,0.0,0.0,0.0
